Report to Owner | Observer's Eye |
——————————————————————————————————

CPU: 7.0% | RAM: 43.6% on 2026-06-12 Time: 22:01:26

Processes in descending order by CPU on 2026-06-12 Time: 22:01:26

========================================================================================================
PID: 9316 | Name: RuntimeBroker.exe | CPU: 0.0% | RAM: 0.1%
PID: 9356 | Name: StartMenuExperienceHost.exe | CPU: 0.0% | RAM: 0.3%
PID: 9364 | Name: svchost.exe | CPU: 0.0% | RAM: 0.1%
PID: 9684 | Name: MoUsoCoreWorker.exe | CPU: 0.0% | RAM: 0.1%
PID: 9860 | Name: RuntimeBroker.exe | CPU: 0.0% | RAM: 0.1%
PID: 9904 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 9968 | Name: browser.exe | CPU: 0.0% | RAM: 0.1%
PID: 10056 | Name: dllhost.exe | CPU: 0.0% | RAM: 0.0%
PID: 10132 | Name: SearchApp.exe | CPU: 0.0% | RAM: 0.8%
PID: 10284 | Name: browser.exe | CPU: 0.0% | RAM: 0.4%
PID: 10292 | Name: browser.exe | CPU: 0.0% | RAM: 0.2%
PID: 10644 | Name: conhost.exe | CPU: 0.0% | RAM: 0.0%
PID: 10648 | Name: dllhost.exe | CPU: 0.0% | RAM: 0.0%
PID: 10688 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 10836 | Name: SystemSettings.exe | CPU: 0.0% | RAM: 0.0%
PID: 11220 | Name: audiodg.exe | CPU: 0.0% | RAM: 0.1%
PID: 11236 | Name: Code.exe | CPU: 0.0% | RAM: 0.5%
PID: 11408 | Name: Telegram.exe | CPU: 0.0% | RAM: 3.4%
PID: 11512 | Name: RuntimeBroker.exe | CPU: 0.0% | RAM: 0.1%
PID: 11520 | Name: Discord.exe | CPU: 0.0% | RAM: 0.5%
PID: 11524 | Name: browser.exe | CPU: 0.0% | RAM: 2.1%
PID: 11564 | Name: ApplicationFrameHost.exe | CPU: 0.0% | RAM: 0.1%
PID: 11604 | Name: Code.exe | CPU: 0.0% | RAM: 0.1%
PID: 11696 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 12040 | Name: browser.exe | CPU: 0.0% | RAM: 0.7%
PID: 12064 | Name: RtkAudUService64.exe | CPU: 0.0% | RAM: 0.0%
PID: 12076 | Name: steam.exe | CPU: 0.0% | RAM: 0.3%
PID: 12140 | Name: TextInputHost.exe | CPU: 0.0% | RAM: 0.2%
PID: 12228 | Name: steamwebhelper.exe | CPU: 0.0% | RAM: 0.1%
PID: 12248 | Name: PhoneExperienceHost.exe | CPU: 0.0% | RAM: 0.5%
PID: 12252 | Name: RuntimeBroker.exe | CPU: 0.0% | RAM: 0.0%
PID: 12308 | Name: browser.exe | CPU: 0.0% | RAM: 0.1%
PID: 12552 | Name: browser.exe | CPU: 0.0% | RAM: 0.2%
PID: 12628 | Name: Discord.exe | CPU: 0.0% | RAM: 0.1%
PID: 12828 | Name: Discord.exe | CPU: 0.0% | RAM: 0.7%
PID: 12836 | Name: browser.exe | CPU: 0.0% | RAM: 0.1%
PID: 12952 | Name: RuntimeBroker.exe | CPU: 0.0% | RAM: 0.1%
PID: 12960 | Name: Discord.exe | CPU: 0.0% | RAM: 0.2%
PID: 13712 | Name: browser.exe | CPU: 0.0% | RAM: 0.4%
PID: 13792 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 13940 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 14088 | Name: svchost.exe | CPU: 0.0% | RAM: 0.1%
PID: 14152 | Name: browser.exe | CPU: 0.0% | RAM: 0.2%
PID: 14168 | Name: browser.exe | CPU: 0.0% | RAM: 0.4%
PID: 14184 | Name: CompPkgSrv.exe | CPU: 0.0% | RAM: 0.0%
PID: 14632 | Name: powershell.exe | CPU: 0.0% | RAM: 0.2%
PID: 14748 | Name: browser.exe | CPU: 0.0% | RAM: 0.6%
PID: 14788 | Name: Discord.exe | CPU: 0.0% | RAM: 0.3%
PID: 14816 | Name: browser.exe | CPU: 0.0% | RAM: 0.1%
PID: 14992 | Name: git-bash.exe | CPU: 0.0% | RAM: 0.0%
PID: 15068 | Name: browser.exe | CPU: 0.0% | RAM: 0.2%
PID: 15128 | Name: Code.exe | CPU: 0.0% | RAM: 0.4%
PID: 15240 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 15392 | Name: steamwebhelper.exe | CPU: 0.0% | RAM: 1.6%
PID: 15552 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 15628 | Name: browser.exe | CPU: 0.0% | RAM: 0.5%
PID: 15856 | Name: browser.exe | CPU: 0.0% | RAM: 0.0%
PID: 15948 | Name: Code.exe | CPU: 0.0% | RAM: 0.3%
PID: 16000 | Name: CodeSetup-stable-6928394f91b684055b873eecb8bc281365131f1c.exe | CPU: 0.0% | RAM: 0.0%
PID: 16056 | Name: Code.exe | CPU: 0.0% | RAM: 0.1%
PID: 16156 | Name: steamwebhelper.exe | CPU: 0.0% | RAM: 0.6%
PID: 16232 | Name: python.exe | CPU: 0.0% | RAM: 0.1%
PID: 16300 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 16360 | Name: svchost.exe | CPU: 0.0% | RAM: 0.1%
PID: 16880 | Name: pet.exe | CPU: 0.0% | RAM: 0.0%
PID: 16892 | Name: conhost.exe | CPU: 0.0% | RAM: 0.0%
PID: 16904 | Name: powershell.exe | CPU: 0.0% | RAM: 0.2%
PID: 17096 | Name: browser.exe | CPU: 0.0% | RAM: 0.2%
PID: 17272 | Name: Code.exe | CPU: 0.0% | RAM: 3.5%
PID: 17292 | Name: OpenConsole.exe | CPU: 0.0% | RAM: 0.0%
PID: 17324 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 17440 | Name: powershell.exe | CPU: 0.0% | RAM: 0.3%
PID: 17588 | Name: browser.exe | CPU: 0.0% | RAM: 0.4%
PID: 17648 | Name: OpenConsole.exe | CPU: 0.0% | RAM: 0.0%
PID: 18196 | Name: browser.exe | CPU: 0.0% | RAM: 0.1%
PID: 18240 | Name: browser.exe | CPU: 0.0% | RAM: 0.1%
PID: 18556 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 18580 | Name: browser.exe | CPU: 0.0% | RAM: 0.0%
PID: 18768 | Name: browser.exe | CPU: 0.0% | RAM: 0.0%
PID: 18772 | Name: CodeSetup-stable-6928394f91b684055b873eecb8bc281365131f1c.tmp | CPU: 0.0% | RAM: 0.1%
PID: 19076 | Name: browser.exe | CPU: 0.0% | RAM: 0.2%
PID: 19096 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 19116 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 19132 | Name: steamwebhelper.exe | CPU: 0.0% | RAM: 0.1%
PID: 19180 | Name: browser.exe | CPU: 0.0% | RAM: 0.1%
PID: 19392 | Name: browser.exe | CPU: 0.0% | RAM: 0.1%
PID: 19504 | Name: browser.exe | CPU: 0.0% | RAM: 0.1%
PID: 19788 | Name: browser.exe | CPU: 0.0% | RAM: 0.0%
PID: 19844 | Name: svchost.exe | CPU: 0.0% | RAM: 0.0%
PID: 20136 | Name: OpenConsole.exe | CPU: 0.0% | RAM: 0.0%
PID: 20216 | Name: browser.exe | CPU: 0.0% | RAM: 0.1%
PID: 20440 | Name: browser.exe | CPU: 0.0% | RAM: 0.4%
========================================================================================================


========================================================================================================
CPU stats:
    Context switches: 902521507
    Interrupts: 614134992
    Soft interrupts: 0
    System calls: 2782746159

System AVG load for 1, 5, 15 minutes: 0.00, 0.00, 0.00
  Current utilization: 0.0%

Current CPU frequency: 3801.0 MHz
    Minimum CPU frequency: 0.0 MHz
    Maximum CPU frequency: 3801.0 MHz

System is running since: 2026-06-12 12:41:48
========================================================================================================
